Cell #,P1.1B,P2.1D,P3.2F,8.1b,5.1F,7.1B,3.1b,8.2b,9.1D,FAST 3B,FAST 7b,FAST 8b,8B SLOW,7b slow,7B: -10 ST,7B: -20 ST,7B: +5 ST,8b: -10 ST,8b: -20 ST,8b: +5 ST,FM DWN 2hz,FM DWN 5hz,FM DWN 10hz
45,22.7230698525,5.1267695081,9.9805191864,30.3124985265,8.4589508322,18.268373127,3.0645669348,18.4515921007,7.4830241513,-4.6344642009,28.4249508137,17.0719277971,34.8924095408,33.4742271265,20.7942178887,3.6594933446,-0.716692595,10.811946131,7.0418441731,-1.7242176629,27.1393606979,26.120229159,17.6727974336
46,23.0081006163,1.5500749286,-5.5366934746,15.0903690816,6.6836304136,29.3148473207,0.1081956436,7.4627241475,14.1925894836,,,,,20.8093961167,22.8663341478,-1.074834771,3.9375186799,10.7012490542,-1.1343080844,8.5185189784,,,
47,20.4442862465,0.8638990902,-2.6288756946,24.3798049285,6.4901280439,15.1852394184,-2.3608896593,5.317225393,12.816841363,,,,25.0751513612,,27.2553791658,8.1426863989,19.4549837915,11.5543867308,3.2084752884,4.7993176554,,,
48,32.638371108,3.7535928347,4.8816690824,21.8034418668,13.2882562189,21.6349716881,7.7463038366,16.6743054552,15.9645949834,-1.3224040346,20.4683371809,11.6306763532,15.1675854263,21.1656446303,21.9542520333,4.552581894,6.9185902705,11.4171460389,3.6945812662,5.8290124945,18.283191668,29.5370650411,22.1254650692
49,28.4515991902,7.121635363,1.7123765873,35.5339800145,10.7913257344,36.2875592001,-0.806395672,16.4732639541,6.1364882114,-2.7849627041,29.3486428089,7.2383921488,23.0479147451,35.1261643722,28.3721732785,8.7199644251,4.8914096765,34.1292275287,4.5861406902,3.7578420723,33.6285592083,19.6084530662,19.5893939544
50,23.719727009,14.414532098,12.8320689226,6.1858222538,8.1827329128,22.2363120451,0.7701943177,9.3665323978,15.8006655942,-2.8255348227,21.9396116468,7.9886452285,-1.4023156705,9.8884085207,9.4188473364,16.2384681196,-2.2760366393,7.7680875659,35.5819015993,19.0179436818,31.7177156223,43.0411251039,24.9716302583
51,19.526855722,-3.1278759525,10.5523082478,16.398227426,2.0680250536,17.3139950711,-1.4942472211,12.6537746866,5.7632062457,-3.0069195949,17.445905922,10.9907944234,17.6493266731,20.4623512022,21.8427531092,22.2359775841,5.201321048,20.3921904199,24.6076189155,6.3111164485,9.0326584002,21.3006743626,13.9814605031
52,32.0513867236,2.1534489463,5.2898821013,25.2583350529,12.3916288974,46.0326057577,0.3533766396,10.7333998834,12.3618606899,-6.3951767552,53.3426558843,9.5445830366,19.6084782725,59.2216101605,14.4858914906,5.5914443607,3.1190430152,12.9066065685,9.5324713072,4.0394207964,15.4409147119,19.5991587321,18.5602444127
53,106.2171240985,13.4589563013,27.0983152628,41.2673501319,25.1237244137,124.3390239496,12.7354888957,23.8575857505,83.3814022177,-1.0401676952,32.1107079072,22.1235117634,59.3777700638,106.7072283932,20.6432900819,8.4305469448,-0.3122435345,22.9141200308,22.9520779394,14.3362412328,19.1685907829,26.580992777,6.07580637
54,19.3468811777,-0.2656957305,-1.8278222808,13.9242891739,7.6551875284,34.5074156139,-4.338308181,6.5144783279,14.5343951328,-2.4940526397,5.4844902355,0.3588429247,18.6189595238,26.4713233475,22.7956714079,10.2181612096,1.7055949083,15.5405833059,15.4284793599,2.0326235553,8.416142945,22.5474288172,20.4379510006
